title,identifier,content,is_active,stores
Pixtron Home Blogs,Pixtron-home-blogs,"<div class=""hb-wrapper above-padding below-padding"">
    <div class=""page-main"">
        <div class=""page-title-main""><strong>Latest Posts</strong></div>
        <div class=""hb-row"">
            <div class=""hb-blog"">
                <ul id=""hb-blogs"">
                    <li style=""display: none;"">
                        <div class=""hb-inner"">
                            <div class=""hb-img"">
                                <img src=""{{media url=""wysiwyg/blog/blog1.jpg""}}"" alt=""blog-image"" />
                                     <span> 25 Jul 2016 </span>
                            </div>
                            <div class=""hb-content"">
                                <h3>Lorem ipsum is dolor sit amet.</h3>
                                <p>Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet.</p>

                            </div>
                        </div>
                    </li>
                    <li style=""display: none;"">
                        <div class=""hb-inner"">
                            <div class=""hb-img"">
                                <img src=""{{media url=""wysiwyg/blog/blog2.jpg""}}"" alt=""blog-image"" />
                                     <span> 25 Jul 2016 </span>
                            </div>
                            <div class=""hb-content"">
                                <h3>Lorem ipsum is dolor sit amet.</h3>
                                <p>Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet.</p>

                            </div>
                        </div>
                    </li>
                    <li style=""display: none;"">
                        <div class=""hb-inner"">
                            <div class=""hb-img"">
                                <img src=""{{media url=""wysiwyg/blog/blog3.jpg""}}"" alt=""blog-image"" />
                                     <span> 25 Jul 2016 </span>
                            </div>
                            <div class=""hb-content"">
                                <h3>Lorem ipsum is dolor sit amet.</h3>
                                <p>Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet.</p>

                            </div>
                        </div>
                    </li>
                    <li style=""display: none;"">
                        <div class=""hb-inner"">
                            <div class=""hb-img"">
                                <img src=""{{media url=""wysiwyg/blog/blog4.jpg""}}"" alt=""blog-image"" />
                                     <span> 25 Jul 2016 </span>
                            </div>
                            <div class=""hb-content"">
                                <h3>Lorem ipsum is dolor sit amet.</h3>
                                <p>Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet.</p>

                            </div>
                        </div>
                    </li>
                    <li style=""display: none;"">
                        <div class=""hb-inner"">
                            <div class=""hb-img"">
                                <img src=""{{media url=""wysiwyg/blog/blog5.jpg""}}"" alt=""blog-image"" />
                                     <span> 25 Jul 2016 </span>
                            </div>
                            <div class=""hb-content"">
                                <h3>Lorem ipsum is dolor sit amet.</h3>
                                <p>Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet. Lorem ipsum is dolor sit amet.</p>

                            </div>
                        </div>
                    </li>
                </ul>
                <script type=""text/javascript"" xml=""space"">
                    require(['jquery', 'pixtronowlcarousel'], function() {
                        jQuery(document).ready(function() {
                            jQuery(""#hb-blogs"").owlCarousel({
                                items: 3,
                                itemsDesktop: [1198, 3],
                                itemsDesktopSmall: [1023, 3],
                                itemsTablet: [768, 3],
                                itemsTabletSmall: [767, 2],
                                itemsMobile: [479, 1],
                                pagination: false,
                                navigationText: [""<div class='left-arrow'><i class='fa fa-angle-left'></i></div>"", ""<div class='right-arrow'><i class='fa fa-angle-right'></div>""],
                                navigation: true,
                            });
                            jQuery(""#hb-blogs li"").show();
                        });
                    });
                </script>
            </div>
        </div>
    </div>
</div>",1,0
Pixtron Home Brands,pixtron-home-brands,"<div class=""brands-wrapper above-padding below-padding"">
<div class=""page-main"">
<div class=""brands-main"">
<ul class=""brands-slider"">
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img src=""{{media url=""wysiwyg/brand/brand.jpg""}}"" alt=""brand-image"" /> </a></li>
</ul>
<script type=""text/javascript"" xml=""space"">
                require(['jquery', 'pixtronowlcarousel'], function() {
                    jQuery(document).ready(function() {
                        jQuery("".brands-slider"").owlCarousel({
                            items: 6,
                            itemsDesktop: [1198, 5],
                            itemsDesktopSmall: [1023, 5],
                            itemsTablet: [768, 4],
                            itemsTabletSmall: [767, 4],
                            itemsMobile: [479, 2],
                            pagination: false,
                            navigationText: [""<div class='left-arrow'><i class='fa fa-angle-left'></i></div>"", ""<div class='right-arrow'><i class='fa fa-angle-right'></div>""],
                            navigation: false,
                        });
                        jQuery("".brands-slider li"").show();
                    });
                });
            </script>
</div>
</div>
</div>",1,0
Pixtron Home Images Block,pixtron-home-images-one,"<div class=""home-images-wrapper above-padding below-padding"">
<div class=""page-main"">
<div class=""home-image-main"">
<div class=""home-image-inner""><a href=""#""> <img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/advertisement/adv-image.jpg""}}"" alt=""home-image"" /> </a></div>
<div class=""home-image-inner""><a href=""#""> <img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/advertisement/adv-image.jpg""}}"" alt=""home-image"" /> </a></div>
<div class=""home-image-inner""><a href=""#""> <img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/advertisement/adv-image.jpg""}}"" alt=""home-image"" /> </a></div>
</div>
</div>
</div>",1,0
Pixtron Home Images Block,pixtron-home-images-two,"<div class=""home-parallax-block above-margin below-margin"">
<h1>Pixtron Free Responsive Magento 2 Theme</h1>
<a class=""action primary"" href=""http://www.hiddentechies.com/pixtron-responsive-theme-magento-2.html"" target=""_blank"">Download Now</a></div>",1,0
Pixtron Home Images Block,pixtron-home-images-three,"<div class=""home-images-wrapper-two above-padding below-padding"">
<div class=""page-main"">
<div class=""home-image-main"">
<div class=""home-image-inner""><a href=""#""> <img class=""image-responsive middle-block"" src=""http://localhost/work/freemage/pub/media/wysiwyg/advertisement/adv-image-2.jpg"" alt=""home-image"" /> </a></div>
<div class=""home-image-inner""><a href=""#""> <img class=""image-responsive middle-block"" src=""http://localhost/work/freemage/pub/media/wysiwyg/advertisement/adv-image-2.jpg"" alt=""home-image"" /> </a></div>
</div>
</div>
</div>",1,0
Pixtron Home Services Block,pixtron-home-services,"<div class=""home-advantage-block"">
    <div class=""page-main"">
        <div class=""hab-row"">
            <div class=""hab-inner"">
                <div class=""home-advantage-block-inner"">
                    <span>
                        <em class=""fa fa-usd""></em>
                    </span>
                    <p>30-Day Money Back</p>
                </div>
            </div>
            <div class=""hab-inner"">
                <div class=""home-advantage-block-inner"">
                    <span>
                        <em class=""fa fa-headphones""></em>
                    </span>
                    <p>1 year Free Support</p>
                </div>
            </div>
            <div class=""hab-inner"">
                <div class=""home-advantage-block-inner"">
                    <span>
                        <em class=""fa fa-undo""></em>
                    </span>
                    <p>Free Lifetime Update</p>
                </div>
            </div>
            <div class=""hab-inner"">
                <div class=""home-advantage-block-inner"">
                    <span>
                        <em class=""fa fa-thumbs-up""></em>
                    </span>
                    <p>100% Satisfaction</p>
                </div>
            </div>
        </div>
    </div>
</div>",1,0
Pixtron Home Slider,pixtron-home-slider,"<div class=""home-slider-wrapper"">
<div class=""home-slider-main"">
<ul class=""home-slider"">
<li><a href=""#""> <img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/slider/home-banner.jpg""}}"" alt=""home banner"" /> </a></li>
<li style=""display: none;""><a href=""#""> <img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/slider/home-banner.jpg""}}"" alt=""home banner"" /> </a></li>
</ul>
</div>
<script type=""text/javascript"" xml=""space"">
        require(['jquery', 'pixtronowlcarousel'], function() {
            jQuery(document).ready(function() {
                jQuery("".home-slider"").owlCarousel({
                    items: 1,
                    itemsDesktop: [1198, 1],
                    itemsDesktopSmall: [1023, 1],
                    itemsTablet: [768, 1],
                    itemsTabletSmall: [767, 1],
                    itemsMobile: [479, 1],
                    pagination: true,
                    navigationText: [""<div class='left-arrow'><i class='fa fa-angle-left'></i></div>"", ""<div class='right-arrow'><i class='fa fa-angle-right'></div>""],
                    navigation: true,
                });
                jQuery("".home-slider li"").show();
            });
        });
    
</script>
</div>",1,0
Pixtron Payments Icons,pixtron-payment-icons,"<span class=""payment-icons"">
    <ul>
        <li><a href=""#""><img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/paymet/americanexpress.jpg""}}"" alt=""americanexpress"" /></a></li>
        <li><a href=""#""><img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/paymet/discover.jpg""}}"" alt=""discover"" /></a></li>
        <li><a href=""#""><img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/paymet/maestro.jpg""}}"" alt=""maestro"" /></a></li>
        <li><a href=""#""><img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/paymet/master.jpg""}}"" alt=""master"" /></a></li>
        <li><a href=""#""><img class=""image-responsive middle-block"" src=""{{media url=""wysiwyg/paymet/visa.jpg""}}"" alt=""visa"" /></a></li>
    </ul>
</span>",1,0
Pixtron Footer Payment & My Account,pixtron-footer-payment-shipping,"<ul class=""footer links"">
<li class=""nav item""><a href=""#"">Terms of Use</a></li>
<li class=""nav item""><a href=""#"">Payment Methods</a></li>
<li class=""nav item""><a href=""#"">Shipping Guide</a></li>
<li class=""nav item""><a href=""#"">Order Tracking</a></li>
<li class=""nav item""><a href=""#"">Return % Exchange</a></li>
</ul>",1,0
Pixtron Footer My Account Block,pixtron-footer-myaccount,"<ul class=""footer links"">
<li class=""nav item""><a href=""#"">My Account</a></li>
<li class=""nav item""><a href=""#"">Login</a></li>
<li class=""nav item""><a href=""#"">My Cart</a></li>
<li class=""nav item""><a href=""#"">My Compare</a></li>
<li class=""nav item""><a href=""#"">My Wishlist</a></li>
</ul>",1,0
